Closure1,Closure2,Closure3,Closure4,Closure5,Closure6,Closure7,Closure8,Closure9,Closure10
2.397822636514611716e+01,4.599402921213201267e+00,3.000211212871077393e+00,1.971739873707733182e+00,1.058908879331803554e+00,7.688937723388717949e-01,2.801421345393561690e+00,9.500433026309027529e-01,1.887473073693027859e+00,4.742521845979547623e-01
2.117088745088392798e+01,4.060910932420337183e+00,2.648950466532409287e+00,1.740891186570968419e+00,9.349332333296048736e-01,6.788727100989075947e-01,2.473434652866556949e+00,8.388134938412629138e-01,1.666490231646686082e+00,4.187273683450333239e-01
2.742627059829352731e+01,5.260792319949652907e+00,3.431638492488440217e+00,2.255274034961920915e+00,1.211178884594403593e+00,8.794599041804521677e-01,3.204262846991899671e+00,1.086658550188928096e+00,2.158889755972255298e+00,5.424491598562027894e-01
2.248057747961296116e+01,4.312130186600708015e+00,2.812821915977472109e+00,1.848587561295168546e+00,9.927708056118220714e-01,7.208696656472057818e-01,2.626448205514626544e+00,8.907048314810270817e-01,1.769583956197702923e+00,4.446310089151193079e-01
2.015290330269492003e+01,3.865645478102373467e+00,2.521577932408656242e+00,1.657181911947376962e+00,8.899777625987409513e-01,6.462296922224914919e-01,2.354501647623340244e+00,7.984798591743897944e-01,1.586358463771394778e+00,3.985932183535862428e-01
2.062497621961549044e+01,3.956196527210248615e+00,2.580644789025564378e+00,1.696000671075566180e+00,9.108251011719502577e-01,6.613673392019893127e-01,2.409654815580991372e+00,8.171838995084876878e-01,1.623518214702867501e+00,4.079300895937599813e-01
2.342814415571671560e+01,4.493888456447175273e+00,2.931383652917356031e+00,1.926506376883057259e+00,1.034616551489994096e+00,7.512546534706194823e-01,2.737154204874079788e+00,9.282484496252423334e-01,1.844172733509203743e+00,4.633724103578731879e-01
2.096955852946192422e+01,4.022292862208979081e+00,2.623759725635763207e+00,1.724335822714893496e+00,9.260422928858224045e-01,6.724168300218852368e-01,2.449913015806007621e+00,8.308366238880747767e-01,1.650642399019163431e+00,4.147453940591486199e-01
2.134616623689762349e+01,4.094532174798377611e+00,2.670881754158466403e+00,1.755304436581013316e+00,9.426737667636454487e-01,6.844932578799123313e-01,2.493912803546090906e+00,8.457582292111667233e-01,1.680287498548434399e+00,4.221941112940240659e-01
2.615484741761751053e+01,5.016913252238474286e+00,3.272555079692192948e+00,2.150724359622331328e+00,1.155031224842426152e+00,8.386900260943040974e-01,3.055720082271350613e+00,1.036283386520997274e+00,2.058808249431665072e+00,5.173023782802083081e-01
2.169985177191052372e+01,4.162374652309297929e+00,2.715135707383232067e+00,1.784388150343606760e+00,9.582929684432479611e-01,6.958346557421433154e-01,2.535234550711773949e+00,8.597716332327773880e-01,1.708128253478579106e+00,4.291894634558661714e-01
2.330170381752725106e+01,4.469635200515238438e+00,2.915563144985767075e+00,1.916109133456594282e+00,1.029032785836285990e+00,7.472001755819790425e-01,2.722381942033254898e+00,9.232387464616299555e-01,1.834219839991268364e+00,4.608716162751706480e-01
1.644531761325885455e+01,3.154471924606036204e+00,2.057676224720417224e+00,1.352305545041633028e+00,7.262460775424156578e-01,5.273410178222929234e-01,1.921337428881984222e+00,6.515812979739291633e-01,1.294511683669586688e+00,3.252629150182647089e-01
1.956975738784029417e+01,3.753788871886720724e+00,2.448613365061426350e+00,1.609229572395692198e+00,8.642252996024283318e-01,6.275303415921078543e-01,2.286371612128829778e+00,7.753749863440329015e-01,1.540455476804765134e+00,3.870594952229557406e-01
2.058624885229890111e+01,3.948768005865328501e+00,2.575799131139995701e+00,1.692816102993714988e+00,9.091148515271185726e-01,6.601254945761463322e-01,2.405130224320592980e+00,8.156494792645809788e-01,1.620469746400335698e+00,4.071641222417994865e-01
1.906195729976042585e+01,3.656384786491072791e+00,2.385076242050165884e+00,1.567472952606884240e+00,8.418002038507738094e-01,6.112470552734301510e-01,2.227044371478225759e+00,7.552553967876965979e-01,1.500483421387735605e+00,3.770159958646809861e-01
2.406809723204155560e+01,4.616641574374456880e+00,3.011456063864812904e+00,1.979129993770991414e+00,1.062877690765127392e+00,7.717756014123949848e-01,2.811921128030355987e+00,9.536040837285301164e-01,1.894547360122367463e+00,4.760296911702852074e-01
2.337728147830927483e+01,4.484132190763215675e+00,2.925019596929618437e+00,1.922323917029664875e+00,1.032370391164657564e+00,7.496236739599786425e-01,2.731211822480852813e+00,9.262332152501489002e-01,1.840169020615658901e+00,4.623664253651699196e-01
2.146253327009782552e+01,4.116853211570801641e+00,2.685441866841498992e+00,1.764873347802879966e+00,9.478126824966415231e-01,6.882247218243531250e-01,2.507508183193562168e+00,8.503688171193521939e-01,1.689447460527531586e+00,4.244956710036527636e-01
2.042841538391084555e+01,3.918493051224627877e+00,2.556050642056062028e+00,1.679837388960108147e+00,9.021447254391115056e-01,6.550643541455670738e-01,2.386690242954727204e+00,8.093959462763764545e-01,1.608045707308642713e+00,4.040424206594626089e-01
1.901136309069439534e+01,3.646680017279576358e+00,2.378745777443038723e+00,1.563312569020748777e+00,8.395658994277970244e-01,6.096246845578116025e-01,2.221133354746942512e+00,7.532507994191041112e-01,1.496500841281822147e+00,3.760153207600182568e-01
2.093131331106571480e+01,4.014956824649935641e+00,2.618974395339699335e+00,1.721190901946271223e+00,9.243533355486527325e-01,6.711904461434959890e-01,2.445444754912028174e+00,8.293213069066740495e-01,1.647631883611515136e+00,4.139889628661729826e-01
1.793840090260204434e+01,3.440868905685576795e+00,2.244494263645481880e+00,1.475082426514564560e+00,7.921825287457281428e-01,5.752187225898123257e-01,2.095777161559474688e+00,7.107388752571467405e-01,1.412041415122645915e+00,3.547937902787874909e-01
1.850702143008516387e+01,3.549939312951778447e+00,2.315641380886116263e+00,1.521840337211282757e+00,8.172935322183382256e-01,5.934522973233183896e-01,2.162210168691128587e+00,7.332682365054428164e-01,1.456801019875296532e+00,3.660402237413597493e-01
2.026149356178268590e+01,3.886474806646436964e+00,2.535164997104868867e+00,1.666111335687025408e+00,8.947732461264181758e-01,6.497117835447508982e-01,2.367188452104945551e+00,8.027823228681699730e-01,1.594906268224164148e+00,4.007409655144557603e-01
